Bangla,Chittagong
কেমন আছো?,কেন আচো?
আজকে আমার মন ভালো নেই,আযিয়া আর মন বালা নাই
তুমি কি করো?,তুঁই কি গরো?
এই গরমে আমার কিছু ভালো লাগে না,এই গরমত আত্তুন কিচু বালা ন লাগের
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,ফোয়াইবা সাদা রংওর উজ্ঞা শার্ট ফরি আইস্যিল
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,মাইফোয়াইবা লাল রংওর শারি ফরি আঁর লই দেহা গইর্ তো আইস্যে
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,ফোয়াইবা সিলেটত্তুন ঢাহা আইস্যে
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,মাইফোয়া ইবা সিলেটত্তুন আইস্যেদে ফোয়া ইবারে বঊত বালবাসে
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,ফোয়াইবা মাইফোয়া ইবারে আইযো বালবাসার চোকে ন দেহে
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,মাইফোয়া ইবা তার বেজ্ঞিন সফ্নর মইদ্দে ফোয়াইবারে কল্ফনা গরে
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,আঁর বউতদিন আগে এব্বার বিয়া অইল
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,আঁর মা আঁরে হইল বিয়া অইলে জিবন ফাল্টি যা গই
আম্মু ঐদিন ঠিক কথাই বলেছিলও,আম্মু অইদিন টিক হতাই হইল
আম্মু সব সময় আমার মনের কথা বুঝে,আম্মু এগাযা আঁর মনোর হতা বুজে
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,আঁর বাসার হাজর মাইফোয়া ইবা ইয়া গম গরি হাজ গরিত ন ফারে
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,আঁর বাসার হাজর মাইফোয়া ইবা দুইদিন অর দাই গিয়্যুয়
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,আঁর বাসার দারোয়ান এহন ইতার গেরামত বেরাইত গেয়্যে
তোমাকে আমি কল দিবো না,তোঁয়ারে আঁই কল ন দিয়ুম
এই জিনিষটা খুবই বিরক্তিকর ছিল,এই জিনিসসান কুব বিরক্তিকর আচিল
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,ইতে সিলেটত্তুন আঁর ফোয়ারে দেহা গইরতো আইস্যে
সে এখন রাজশাহী চলে গেছে,ইতে এহন রাজশাহী গেইয়্যুই
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,ইতে এহন তার বন্দুওক্কলর ফোয়ারে সিগেট হায়
সে একদমই হাসে না,এতে এব্বেরেও ন আসে
সে আমাকে অপমান করে,এতে আঁরে অফমান গইরগে
তাঁর বই পরতে একদমই ভাল লাগে না,ইতাত্তুন বই ফইরতো এফফোডাও গম ন লাগে
আপনার কি বই পড়ার অভ্যাস আছে ?,অনর কি বই ফরার অব্বাস আচে নে
তুমি কি আমাকে চিনো ?,তুঁই কি আঁরে চিনো নে
আমি তোমাকে চিনতে  পারলাম  না,আঁই তোয়াঁরে চিনিত ন ফাইরলাম
আমি তোমাকে আগে কখনো দেখি নাই,আঁই তোয়াঁরে আগে হনো অত্তে ন দেহি
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,আঁত্তুন ফরালেহা গইরতো এফফোডাও গম ন লাগে
আপনার পড়ালেখা করা উচিত,অনর ফরালেহা গরা উচিত
আপনাকে পড়ালেখা  করতে হবে,অনোত্তুন ফরালেহা গরা ফরিবো
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,অনর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে
তোর পড়ালেখা কোরতে হবে,তোত্তুন ফরালেহা গরা ফরিবো
তুই কি আর পড়ালেখা করবি নাহ ?,তুই কি আর ফরালেহা ন গরিবি
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,তুই কি ফরালেহা চারি দিতো চস নিকি
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,তোর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে
তুমি কি এখন খেতে বসবা  ?,তুঁই কি এহন হাইতো বইবা নে
আজকে আমার খেতে ভালো লাগছে না,আযিয়া আঁর হাইতো মনো ন হর
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,আঁর বিদ্যালয়ে বউত বন্দু আচে
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,আঁর চোড বইন বিদ্যালয়অত যাইত ন চাই
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,আত্তুন বিদ্যালয়অত যাইত বউত বালা লাগে
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,ইবা তার গেরামর এক্কান বিদ্যালয় অত ফরালেহা গরে
সে বিদ্যালয়ে যেতে চায় না,ইবা বিদ্যালয়অত যাইত ন চায়
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,ইতাত্তুন বিদ্যালয় অত যাই ফরালেহা গইরতো গম ন লাগে
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,ইতে বিদ্যালয় অত যাই বন্দু অক্কলর ফোয়ারে গল্ফ গরে
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,ইতে বিদ্যালয় অর মাডঅত ফত্তিন ক্রিকেট কেলে
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,ইবা বিদ্যালয় অর মাডঅত মায়া গুরি ফরি গেইয়্যুই
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,ইতে বউত দিন আগে তার বিদ্যালয় অর ওজ্ঞা মাইফোয়ারে বালবাসিতো
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,ফোয়াইবা তার গেরামর গুরা এক্কান বিদ্যালয় অত্তুন ফরালেহা গরি এসএসসি ফাশ গইরগে
তোমাদের বাসা কোথায়?,তোঁয়ারার বাসা হডে
ঢাকা বাংলাদেশের রাজধানী,ডাহা বাংলাদেশঅর রাযদানি
তুমি কি আমার সাথে প্রেম করবা?,তুঁই কি আঁর ফোয়ারে ফেম গরিবা নে
আমি আজকে সকালে ফুটবল খেলেছি,আঁই আযিয়া বেইন্না ফুটবল কেলা হাইয়্যি
আমি তোমার মনের কথা বুঝি না,আঁই তোয়াঁর মন অর হতা বুজি
তোমার জন্য আমার খুব কষ্ট হয়,তোঁয়ার লাই আঁর কুব হস্ট অই
আমাদের স্বপ্ন অনেক বড়,আঁরার সফ্ন বউত ডঅর
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,আল্ফবয়স্যা ফোয়া অজ্ঞা বাইরে ফুটফাতত দুরের
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,ওজ্ঞা গুরা ফোয়া বিচানাতা ফালমারি উডের
একটি ছেলে বিছানায় লাফাচ্ছে,ওজ্ঞা ফোয়া বিচানাত ফালার
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,ওজ্ঞা ফোয়া এক বিচানাত্তুন আরেক বিচানাত ফাল মারে
একটি ছোট শিশু ফুটপাতে হাঁটছে,ওজ্ঞা গুরা ফোয়া ফুটফাতোত আডের
আমি একজন ছেলে,আঁই ওজ্ঞা ফোয়া
আমি একজন মেয়ে,আঁই ওজ্ঞা মাইফোয়া
আমার স্বামী আমাকে খুব ভালোবাসে,আঁর জামাই আঁরে কুব বালবাসে
স্কুল জীবন থেকে তাদের প্রেম ছিলো,স্কুল যিবন অইতে তারার ফ্রেম আচিল
আমি বিবাহ করেছি দশ বছর হয়,আঁই বিয়া গইরগি দশ বচর অর
অসম্ভব ভাল ছবি,এব্বারে গম চবি
